instance_id,variant_type,repo,lang,split,status,exclusion_reason,flags,n_f2p_effective,n_p2p_effective,p_hat_orig,p_hat_source_orig,empirical_success_rate
kodcode-567d8ff11a92,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-03f4c8bb6299,ut_pytest,,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL;PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",0.0
kodcode-56cfff2ca602,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-612fb6daa8ae,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.375
kodcode-053d04841e6c,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-fe75ee00431b,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",0.25
kodcode-93b6e67872c0,ut_pytest,,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL;PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.0
kodcode-3330f5e0114d,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.625
opencodeinstruct-4af7191a5139,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
ko-native-294de5a541cb,ut_function,,ko,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=1,k=4)",0.375
opencodeinstruct-62269a1d7b61,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",0.125
opencodeinstruct-acd52ccc641a,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-67355225653d,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=1,k=4)",0.875
opencodeinstruct-f1b20a307299,ut_function,,en,test,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",
opencodeinstruct-037376c851e8,ut_function,,en,validation,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=2,k=8)",
opencodeinstruct-bbc91bf8e2cf,ut_function,,en,excluded,excluded,TOO_HARD,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",0.0
opencodeinstruct-0f7aff6dcb1f,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=2,k=8)",0.125
opencodeinstruct-793c2c21f6f3,ut_function,,en,test,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.375,"measured_pass_at_k(n=1,k=8)",
opencodeinstruct-992792953f1c,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",0.875
opencodeinstruct-a9b789e97b50,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-79342dd0fb28,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-f2c1c5ce717e,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-5c26d32910b1,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=16)",1.0
opencodeinstruct-0958556b04a9,ut_function,,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL;PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=2,k=8)",0.0
opencodeinstruct-71745973b543,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-9e0c9c07eb59,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=8)",0.125
opencodeinstruct-e2e4dfceedca,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=8)",1.0
opencodeinstruct-6165cf1a7f48,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-57c5804375bf,ut_function,,en,validation,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",
opencodeinstruct-eabca2e7baac,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=16)",0.625
opencodeinstruct-56ecf3b3a0ee,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-53a760db1043,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.25
opencodeinstruct-e0f014cd6f72,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-d161365eaf4f,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",0.75
opencodeinstruct-0e5fcccbba5c,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-0d31dd1c3661,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=16)",1.0
opencodeinstruct-01f3c330b2ab,ut_function,,en,validation,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",
opencodeinstruct-6ec20e85a956,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-7389a4248f6f,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.375,"measured_pass_at_k(n=1,k=8)",1.0
kodcode-608c8f77ff16,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-91c019621bab,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-c189835332b0,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.75
kodcode-5a6710b30847,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",0.875
opencodeinstruct-eab7da22daf6,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",1.0
kodcode-80c4c1808703,ut_pytest,,en,test,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",
kodcode-4ab191f3b707,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.375
kodcode-b0ce802f6833,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
kodcode-45d03c63b8ae,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",0.375
kodcode-276e91e13558,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-52f04486e0d3,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",0.25
kodcode-0965abf0c65e,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",1.0
kodcode-bfe63d69e1a0,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
kodcode-8d614e55adcd,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.5
kodcode-035a3ac7f4df,ut_pytest,,en,excluded,excluded,TOO_HARD,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",0.0
kodcode-dedd2a729341,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
kodcode-52c779b600f5,ut_pytest,,en,excluded,excluded,TOO_HARD,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.0
kodcode-67848227afa9,ut_pytest,,en,excluded,excluded,TOO_HARD,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=8)",0.0
kodcode-5043ff583049,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.875
kodcode-056655a848ce,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",0.625
kodcode-338b91f4485b,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-196899cd9123,ut_pytest,,en,validation,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",
opencodeinstruct-fa979e29e444,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-16f68a30a84f,ut_pytest,,en,excluded,excluded,TOO_HARD,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.0
kodcode-f08a2a10ad90,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-21563be1b316,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=2,k=8)",1.0
kodcode-6699983f9138,ut_pytest,,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL;PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",0.0
kodcode-e3fe4d22e142,ut_pytest,,en,test,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=2,k=8)",
kodcode-6d6639a364d6,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-4e48b366b5f7,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-d988b3e9b89e,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-74086d8e2abc,ut_pytest,,en,validation,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",
kodcode-cafda88829ff,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.875
ko-native-88c37915a669,ut_function,,ko,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",0.875
rstar-5a217587fee6,ut_stdio,,en,excluded,excluded,TOO_HARD,no_reference_solution,0,0,0.5,"measured_pass_at_k(n=1,k=4)",0.0
rstar-5b3df4f49b30,ut_stdio,,en,excluded,excluded,TOO_EASY,no_reference_solution,0,0,0.5,"measured_pass_at_k(n=1,k=4)",1.0
rstar-1f5c2d1647c1,ut_stdio,,en,excluded,excluded,TOO_HARD,no_reference_solution,0,0,0.5,"measured_pass_at_k(n=1,k=4)",0.0
rstar-f926db6c15bc,ut_stdio,,en,excluded,excluded,TOO_EASY,no_reference_solution,0,0,0.5,"measured_pass_at_k(n=1,k=4)",1.0
rstar-5732e8231325,ut_stdio,,en,train,ok,,no_reference_solution,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.375
rstar-3be93104e4c8,ut_stdio,,en,test,ok,,no_reference_solution,0,0,0.5,"measured_pass_at_k(n=1,k=4)",
rstar-85e0741df75b,ut_stdio,,en,excluded,excluded,TOO_EASY,no_reference_solution,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
rstar-fe22ec9beda9,ut_stdio,,en,train,ok,,no_reference_solution,0,0,0.25,"measured_pass_at_k(n=2,k=8)",0.625
rstar-1e427bccd29c,ut_stdio,,en,train,ok,,no_reference_solution,0,0,0.75,"measured_pass_at_k(n=1,k=4)",0.5
rstar-efd301d9a15d,ut_stdio,,en,train,ok,,no_reference_solution,0,0,0.75,"measured_pass_at_k(n=1,k=4)",0.25
rstar-cfaaa50a041a,ut_stdio,,en,excluded,excluded,TOO_EASY,no_reference_solution,0,0,0.75,"measured_pass_at_k(n=1,k=4)",1.0
rstar-b3b410b31fd0,ut_stdio,,en,excluded,excluded,TOO_HARD,no_reference_solution,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.0
rstar-61b9732cb3e3,ut_stdio,,en,excluded,excluded,TOO_HARD,no_reference_solution,0,0,0.25,"measured_pass_at_k(n=1,k=8)",0.0
rstar-e8bb12bcf286,ut_stdio,,en,train,ok,,no_reference_solution,0,0,0.25,"measured_pass_at_k(n=1,k=4)",0.125
rstar-deecf2221587,ut_stdio,,en,excluded,excluded,TOO_HARD,no_reference_solution,0,0,0.5,"measured_pass_at_k(n=2,k=16)",0.0
rstar-02d52efe542d,ut_stdio,,en,excluded,excluded,TOO_HARD,no_reference_solution,0,0,0.25,"measured_pass_at_k(n=1,k=4)",0.0
rstar-ff737a4dd9da,ut_stdio,,en,excluded,excluded,TOO_EASY,no_reference_solution,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
rstar-69c54b8d802a,ut_stdio,,en,test,ok,,no_reference_solution,0,0,0.5,"measured_pass_at_k(n=2,k=8)",
rstar-cbf79c31e9b1,ut_stdio,,en,train,ok,,no_reference_solution,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.75
opencodeinstruct-6ef9c746bb84,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-400cb30aec4b,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-179ef21ebd44,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-5b45a8023f3e,ut_function,,en,test,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",
opencodeinstruct-43f25cbfcd42,ut_function,,en,validation,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",
opencodeinstruct-41f7f353c2b7,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-73984791999c,ut_function,,en,excluded,excluded,TOO_HARD,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",0.0
opencodeinstruct-4d7a3e880446,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-57ca90c7a14b,ut_function,,en,test,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",
opencodeinstruct-b550c54a499b,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-c03f158ade07,ut_function,,en,test,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",
opencodeinstruct-5451f81dc1e1,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-c64457c6c7b6,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-1a648a0d8c8d,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-32075ffb68ea,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-349768317249,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-6fbf74ef226f,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-d8fbd24cd8ec,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",0.625
opencodeinstruct-c0c036e42794,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-599737149fa3,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-14d7201773ff,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",0.75
opencodeinstruct-ba2784064e34,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-75edd6fb3e8e,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=8)",0.625
opencodeinstruct-afb77bdc4050,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-6b1b070bb702,ut_function,,en,excluded,excluded,TOO_HARD,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=8)",0.0
opencodeinstruct-7e858cf2856f,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-efdd8a72c80e,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-46312dec26f9,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",0.125
opencodeinstruct-dbfd3133f005,ut_function,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",0.125
opencodeinstruct-5f2083e92cdc,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-b44a3ad2692d,ut_function,,en,test,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.375,"measured_pass_at_k(n=1,k=8)",
opencodeinstruct-75e90be4f801,ut_function,,en,test,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",
opencodeinstruct-754d3ee95133,ut_function,,en,validation,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",
kodcode-c66d40bfbce5,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",0.875
kodcode-ef66625d2b85,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=2,k=8)",1.0
opencodeinstruct-b4111ba07a3a,ut_function,,en,test,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",
kodcode-e3fdcfe1c92c,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",0.875
kodcode-a3fb630e50ec,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-ffa8f1c97c4f,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=2,k=8)",1.0
kodcode-62c3ed82b9f0,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.375,"measured_pass_at_k(n=1,k=8)",1.0
kodcode-37301a207276,ut_pytest,,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL;PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",0.0
opencodeinstruct-7c7055b618a5,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
kodcode-0154b0709235,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",1.0
opencodeinstruct-62800b01bc83,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.375,"measured_pass_at_k(n=2,k=16)",1.0
kodcode-a6f0a4318399,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-2c8c834f0781,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
kodcode-b1dff6497f02,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-cbe5799a6a24,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",0.75
kodcode-bd6990fcbbce,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=2,k=8)",1.0
kodcode-629fa9bfbf15,ut_pytest,,en,excluded,excluded,TOO_HARD,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",0.0
kodcode-965b3f98fd70,ut_pytest,,en,excluded,excluded,TOO_HARD,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=16)",0.0
kodcode-ee3ad22517e5,ut_pytest,,en,validation,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",
opencodeinstruct-dfd36ce89ac8,ut_function,,en,validation,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",
kodcode-d58b0803fe84,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=8)",1.0
kodcode-e4adb9b06635,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",0.875
opencodeinstruct-46b8ec342425,ut_function,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",1.0
kodcode-3897f804241e,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",1.0
kodcode-63ee1de9ccf1,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=2,k=8)",0.75
kodcode-f7059cad913d,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=1,k=4)",0.625
kodcode-7f45fb15f92c,ut_pytest,,en,test,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",
kodcode-0c7023f12491,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=8)",1.0
kodcode-f89c766fa4e8,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.75,"measured_pass_at_k(n=2,k=8)",0.625
kodcode-70ab43708446,ut_pytest,,en,train,ok,,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",0.125
kodcode-defc85eada26,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
kodcode-fa1e1f860bf9,ut_pytest,,en,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.5,"measured_pass_at_k(n=2,k=8)",1.0
ko-native-792ec5eb58a4,ut_function,,ko,excluded,excluded,TOO_EASY,PROMPT_FIX_ENTRY_POINT,0,0,0.25,"measured_pass_at_k(n=1,k=4)",1.0
rstar-aa90453ae762,ut_stdio,,en,excluded,excluded,TOO_EASY,no_reference_solution,0,0,0.5,"measured_pass_at_k(n=1,k=4)",1.0
